year,crowned,winner,state_or_district,city,age,awards,talent,notes
1995,"September 17, 1994",Heather Whitestone,Alabama,Birmingham,21,Preliminary Swimsuit Preliminary Talent,"Ballet en Pointe,
""Via Dolorosa""",First deaf Miss America[50]
1996,"September 16, 1995",Shawntel Smith,Oklahoma,Muldrow,24,,"Vocal,
""The Woman in the Moon"" from A Star Is Born",
1997,"September 14, 1996",Tara Dawn Holland,Kansas,Overland Park,23,Preliminary Swimsuit,"Classical vocal,
""Où Va la Jeune Hindoue"" from Lakmé","Her crowning was featured at beginning of the 2006 film, Little Miss Sunshine"
1998,"September 13, 1997",Katherine Shindle,Illinois,Evanston,20,Preliminary Talent,"Vocal,
""Don't Rain on My Parade""",Performed in Legally Blonde on Broadway President of the Actors' Equity Association[54] Briefly on the Board of Directors for the Miss America Organization in 2018[55] Television broadcast moved to ABC
1999,"September 19, 1998",Nicole Johnson,Virginia,Roanoke,24,,"Vocal,
""That's Life""",Diabetes awareness advocate
2000,"September 18, 1999",Heather Renee French,Kentucky,Maysville,24,Preliminary Swimsuit,"Vocal,
""As If We Never Said Goodbye"" fromSunset Boulevard",First Miss Kentucky crowned
2001,"Oct. 14, 2000",Angela Perez Baraquio,Hawaii,Honolulu,24,Preliminary Swimsuit,"Hula,
""Theme"" from Mutiny on the Bounty",First Filipino American and Asian American Miss America[58]
2002,"September 22, 2001",Katie Harman,Oregon,Gresham,21,Preliminary Talent,"Classical vocal,
""O mio babbino caro""",First Miss Oregon crowned[59]
2003,"September 21, 2002",Erika Harold,Illinois,Urbana,22,,"Classical vocal,
""Habanera""",
2004,"September 20, 2003",Ericka Dunlap,Florida,Orlando,21,,"Vocal,
""If I Could""","Finished in third place on The Amazing Race 15 with her then-husband, Brian Kleinschmidt"
2005,"September 18, 2004",Deidre Downs,Alabama,Birmingham,24,,"Vocal,
""I'm Afraid This Must Be Love""",
2006,"Jan. 21, 2006",Jennifer Berry,Oklahoma,Tulsa,22,Preliminary Talent,"Ballet en Pointe,
""Within""",Television broadcast moved to CMT
2007,"Jan. 29, 2007",Lauren Nelson,,Lawton,20,Preliminary Lifestyle & Fitness,"Vocal,
""You'll Be in My Heart""",
2008,"Jan. 26, 2008",Kirsten Haglund,Michigan,Farmington Hills,19,Preliminary Lifestyle & Fitness,"Vocal,
""Over the Rainbow""","Haglund's grandmother, Iora Hunt, represented Detroit, Michigan at theMiss America 1944 pageant[67] Television broadcast moved to TLC"
2009,"Jan. 24, 2009",Katie Stam,Indiana,Seymour,22,Preliminary Lifestyle & Fitness,"Vocal,
""Via Dolorosa""",First Miss Indiana crowned[69]
2010,"Jan. 30, 2010",Caressa Cameron,Virginia,Fredericksburg,22,Preliminary Talent,"Vocal,
""Listen"" from Dreamgirls",
2011,"Jan. 15, 2011",Teresa Scanlan,Nebraska,Gering,17,Preliminary Talent,"Piano,
""White Water Chopped Sticks"" byCalvin Jones",Youngest Miss America winner since 1933[71] First Miss Nebraska crowned[71] Television broadcast moved back to ABC
2012,"Jan. 14, 2012",Laura Kaeppeler,Wisconsin,Kenosha,23,Preliminary Talent,"Operatic vocal,
""Il Bacio"" by Luigi Arditi",Briefly on the Board of Directors for the Miss America Organization in 2018[55]
2013,"Jan. 12, 2013",Mallory Hagan,New York,Brooklyn,24,,"Tap dance,
""Get Up Offa That Thing"" by James Brown","Served the second shortest term by any Miss America, lasting only nine months"
2014,"September 15, 2013",Nina Davuluri,New York,Fayetteville,24,,"Bollywood fusion dance,
""Dhoom Tana"" from Om Shanti Om",First Indian American winner[74] First to perform a Bollywood dance at a Miss America pageant
2015,"September 14, 2014",Kira Kazantsev,New York,Manhattan,23,,"Vocal with plastic cup percussion,
""Happy"" by Pharrell Williams",
2016,"September 13, 2015",Betty Cantrell,Georgia,Warner Robins,21,Preliminary Talent,"Classical vocal,
""Tu? Tu? Piccolo Iddio!"" from Madama Butterfly",
2017,"September 11, 2016",Savvy Shields,Arkansas,Fayetteville,21,Preliminary Talent,"Jazz dance, 
""They Just Keep Moving the Line"" from the NBC show Smash",
2018,"Sept. 10, 2017",Cara Mund,North Dakota,Bismarck,23,,"Jazz dance, 
“The Way You Make Me Feel” byMichael Jackson",First Miss North Dakota crowned[79]
2019,"Sept. 9, 2018",Nia Franklin,New York,Brooklyn,25,,"Operatic vocal,
""Quando m'en vò"" from La bohème",
